CustomerID,Lookalikes
C0001,"[('C0112', 0.9408647429126716), ('C0192', 0.936197372253716), ('C0102', 0.8800435990525455)]"
C0002,"[('C0106', 0.9496117602460986), ('C0134', 0.8977893798575671), ('C0088', 0.8155117304386292)]"
C0003,"[('C0195', 0.8758082903801342), ('C0151', 0.8564302510696337), ('C0163', 0.8455192741297328)]"
C0004,"[('C0165', 0.9580759581861971), ('C0155', 0.9035299351773021), ('C0153', 0.8905140521147243)]"
C0005,"[('C0007', 0.9368237691437435), ('C0186', 0.8646647716072835), ('C0140', 0.8360382475062904)]"
C0006,"[('C0168', 0.899363250097676), ('C0171', 0.887798409458259), ('C0087', 0.8516040556985568)]"
C0007,"[('C0005', 0.9368237691437435), ('C0140', 0.88973430133014), ('C0045', 0.7566112386646882)]"
C0008,"[('C0065', 0.8740218844002534), ('C0189', 0.8098250052808432), ('C0059', 0.7975547221174559)]"
C0009,"[('C0103', 0.8876032035801616), ('C0198', 0.8825076208648374), ('C0061', 0.8142891521816645)]"
C0010,"[('C0062', 0.9598004990857062), ('C0149', 0.804565010198928), ('C0111', 0.7895558306800142)]"
C0011,"[('C0174', 0.9305489084495315), ('C0153', 0.9234977621714477), ('C0155', 0.8910480688386726)]"
C0012,"[('C0195', 0.9809195955051158), ('C0052', 0.8592509821028397), ('C0163', 0.8294369273419473)]"
C0013,"[('C0099', 0.8741281766038286), ('C0107', 0.8055899220296097), ('C0129', 0.7829915512520678)]"
C0014,"[('C0060', 0.8182722299308205), ('C0172', 0.8119609377011358), ('C0164', 0.7742880156247185)]"
C0015,"[('C0036', 0.8594164868290448), ('C0094', 0.8444476069518865), ('C0131', 0.7869859920009901)]"
C0016,"[('C0183', 0.9722741554640425), ('C0067', 0.9436542823880424), ('C0042', 0.9159271169017361)]"
C0017,"[('C0075', 0.9162342907506527), ('C0081', 0.9095852528418663), ('C0057', 0.8598878318721841)]"
C0018,"[('C0117', 0.9360082543976624), ('C0185', 0.8329391373931415), ('C0046', 0.8223707994172064)]"
C0019,"[('C0121', 0.9140960769994063), ('C0081', 0.7836765966187674), ('C0119', 0.7139739623123491)]"
C0020,"[('C0050', 0.9480318861431699), ('C0026', 0.9327479778413346), ('C0035', 0.8410149960638579)]"
C0021,"[('C0101', 0.9143316313462527), ('C0090', 0.9130764790362585), ('C0173', 0.9053405988229516)]"
C0022,"[('C0056', 0.9249112761592375), ('C0143', 0.8997990852119147), ('C0092', 0.8931538062958647)]"
C0023,"[('C0135', 0.9131749007415549), ('C0070', 0.8494977277799376), ('C0074', 0.839555471286549)]"
C0024,"[('C0194', 0.993819116639278), ('C0047', 0.9870045159880195), ('C0116', 0.9568486981118526)]"
C0025,"[('C0152', 0.9244063307419776), ('C0076', 0.8242673702797148), ('C0031', 0.7605125035254631)]"
C0026,"[('C0050', 0.9587669724200512), ('C0020', 0.9327479778413346), ('C0035', 0.901263933556042)]"
C0027,"[('C0193', 0.928194926680415), ('C0142', 0.6454530286066862), ('C0180', 0.633846293558518)]"
C0028,"[('C0054', 0.9804375458923942), ('C0084', 0.7808962543935405), ('C0039', 0.6792693925335372)]"
C0029,"[('C0067', 0.8170110043691345), ('C0034', 0.8136504897979824), ('C0042', 0.8019400827206354)]"
C0030,"[('C0034', 0.9708614421928579), ('C0183', 0.9245896263419587), ('C0067', 0.9218853125263174)]"
C0031,"[('C0052', 0.9842811421630198), ('C0076', 0.9690827434601503), ('C0195', 0.8946969222948143)]"
C0032,"[('C0191', 0.8115124763966808), ('C0137', 0.7488409817137973), ('C0071', 0.6705645948864768)]"
C0033,"[('C0058', 0.881512733793872), ('C0030', 0.7932497127749737), ('C0094', 0.7241251318348457)]"
C0034,"[('C0030', 0.9708614421928579), ('C0067', 0.9225593987913999), ('C0183', 0.8808613032027642)]"
C0035,"[('C0072', 0.9840089030273992), ('C0055', 0.9829327997875592), ('C0026', 0.901263933556042)]"
C0036,"[('C0015', 0.8594164868290448), ('C0117', 0.8162872599851777), ('C0094', 0.7691065709307529)]"
C0037,"[('C0170', 0.9549425361380509), ('C0100', 0.9483735897888276), ('C0086', 0.8956232448704242)]"
C0038,"[('C0160', 0.992354612971565), ('C0079', 0.7856998914308011), ('C0189', 0.7825633045111838)]"
C0039,"[('C0190', 0.9634959343928675), ('C0048', 0.9254210474592113), ('C0181', 0.879182631929717)]"
C0040,"[('C0200', 0.8543922140294034), ('C0176', 0.6537006870992438), ('C0053', 0.6272086135234151)]"
C0041,"[('C0075', 0.8604048421332426), ('C0057', 0.8584023740196983), ('C0064', 0.8354073451781706)]"
C0042,"[('C0016', 0.9159271169017361), ('C0183', 0.8812622493487671), ('C0067', 0.8642204747099427)]"
C0043,"[('C0123', 0.7367306471655541), ('C0097', 0.6975717268487166), ('C0128', 0.6487872416078886)]"
C0044,"[('C0167', 0.8718152806330027), ('C0064', 0.8335651595565069), ('C0063', 0.8136146782167144)]"
C0045,"[('C0162', 0.8312577962078406), ('C0007', 0.7566112386646882), ('C0188', 0.7058854746203315)]"
C0046,"[('C0117', 0.8450716630839359), ('C0018', 0.8223707994172064), ('C0194', 0.8091560489895226)]"
C0047,"[('C0024', 0.9870045159880195), ('C0194', 0.9769371461089085), ('C0116', 0.9708458623831288)]"
C0048,"[('C0190', 0.9284773921934716), ('C0039', 0.9254210474592113), ('C0181', 0.8718737774443964)]"
C0049,"[('C0098', 0.9784723229187183), ('C0030', 0.8617294477936502), ('C0034', 0.8374294044599956)]"
C0050,"[('C0026', 0.9587669724200512), ('C0020', 0.9480318861431699), ('C0035', 0.8517352299811085)]"
C0051,"[('C0105', 0.915798118204751), ('C0127', 0.8842299770678537), ('C0069', 0.8842105287544062)]"
C0052,"[('C0031', 0.9842811421630198), ('C0076', 0.9469456411050524), ('C0195', 0.9095166566544773)]"
C0053,"[('C0149', 0.9699299663109417), ('C0141', 0.8334873593001667), ('C0062', 0.7747460120293204)]"
C0054,"[('C0028', 0.9804375458923942), ('C0115', 0.7407197904171172), ('C0114', 0.7116393377510472)]"
C0055,"[('C0072', 0.9885251672753048), ('C0035', 0.9829327997875592), ('C0154', 0.945334616011562)]"
C0056,"[('C0092', 0.9587947601923109), ('C0022', 0.9249112761592375), ('C0088', 0.8240721630771906)]"
C0057,"[('C0064', 0.9157791636486148), ('C0081', 0.910543997470633), ('C0017', 0.8598878318721841)]"
C0058,"[('C0033', 0.881512733793872), ('C0042', 0.7928545383430782), ('C0016', 0.7551320425823174)]"
C0059,"[('C0065', 0.963246218105786), ('C0008', 0.7975547221174559), ('C0189', 0.7792133171807801)]"
C0060,"[('C0014', 0.8182722299308205), ('C0086', 0.7726697962535279), ('C0166', 0.769359967447241)]"
C0061,"[('C0198', 0.8991791950254711), ('C0062', 0.8963944337136072), ('C0103', 0.8621086974880551)]"
C0062,"[('C0010', 0.9598004990857062), ('C0061', 0.8963944337136072), ('C0149', 0.8300175147516331)]"
C0063,"[('C0167', 0.9707613259628303), ('C0132', 0.8703918988563559), ('C0064', 0.8183608762526142)]"
C0064,"[('C0057', 0.9157791636486148), ('C0167', 0.9147522619675832), ('C0081', 0.8644263842211335)]"
C0065,"[('C0059', 0.963246218105786), ('C0008', 0.8740218844002534), ('C0156', 0.7331237339636983)]"
C0066,"[('C0114', 0.9370342921433082), ('C0105', 0.8078413190467187), ('C0115', 0.7907265236217988)]"
C0067,"[('C0183', 0.9563064152297369), ('C0016', 0.9436542823880424), ('C0034', 0.9225593987913999)]"
C0068,"[('C0072', 0.7744762395678924), ('C0026', 0.740782056375895), ('C0055', 0.7089700748420735)]"
C0069,"[('C0127', 0.9789951700023037), ('C0199', 0.9027159442262408), ('C0119', 0.8874105281549574)]"
C0070,"[('C0073', 0.9422895363905415), ('C0135', 0.9340218046349295), ('C0074', 0.9070884491184709)]"
C0071,"[('C0174', 0.9152984207346712), ('C0011', 0.7869187889153921), ('C0118', 0.782543676816503)]"
C0072,"[('C0055', 0.9885251672753048), ('C0035', 0.9840089030273992), ('C0154', 0.9046150658038105)]"
C0073,"[('C0070', 0.9422895363905415), ('C0132', 0.8928811729549019), ('C0135', 0.8338864731013967)]"
C0074,"[('C0135', 0.9302429309860696), ('C0070', 0.9070884491184709), ('C0023', 0.839555471286549)]"
C0075,"[('C0017', 0.9162342907506527), ('C0041', 0.8604048421332426), ('C0057', 0.7065278500550355)]"
C0076,"[('C0031', 0.9690827434601503), ('C0052', 0.9469456411050524), ('C0195', 0.8546969476822601)]"
C0077,"[('C0150', 0.8170618617289587), ('C0083', 0.8157500816171023), ('C0133', 0.7604751491285079)]"
C0078,"[('C0123', 0.8470034103814537), ('C0177', 0.745608211502542), ('C0044', 0.6526844891465435)]"
C0079,"[('C0160', 0.8343784198802813), ('C0038', 0.7856998914308011), ('C0159', 0.624516865369025)]"
C0080,"[('C0110', 0.8993151197756529), ('C0138', 0.8106102442865061), ('C0089', 0.7829883953868022)]"
C0081,"[('C0057', 0.910543997470633), ('C0017', 0.9095852528418663), ('C0064', 0.8644263842211335)]"
C0082,"[('C0171', 0.9347152977708113), ('C0153', 0.8911157624218075), ('C0165', 0.8718067462938753)]"
C0083,"[('C0150', 0.8590838615950449), ('C0077', 0.8157500816171023), ('C0088', 0.7069529467970137)]"
C0084,"[('C0028', 0.7808962543935405), ('C0146', 0.7039615688294806), ('C0054', 0.6938997901045661)]"
C0085,"[('C0187', 0.9300375481432431), ('C0137', 0.8610587045195938), ('C0191', 0.8137676999394741)]"
C0086,"[('C0179', 0.9727762931732392), ('C0166', 0.9661644952391599), ('C0164', 0.8991035405884871)]"
C0087,"[('C0006', 0.8516040556985568), ('C0169', 0.846694563857134), ('C0171', 0.7823780200565456)]"
C0088,"[('C0106', 0.8425852340198274), ('C0056', 0.8240721630771906), ('C0002', 0.8155117304386292)]"
C0089,"[('C0182', 0.8932975809066437), ('C0170', 0.8929290643550787), ('C0196', 0.841788636483397)]"
C0090,"[('C0101', 0.9253700495069195), ('C0021', 0.9130764790362585), ('C0180', 0.7917748436219684)]"
C0091,"[('C0181', 0.8468564672664857), ('C0190', 0.8350463078974559), ('C0102', 0.8076441264470693)]"
C0092,"[('C0056', 0.9587947601923109), ('C0022', 0.8931538062958647), ('C0143', 0.8041656462830116)]"
C0093,"[('C0022', 0.8088494281896808), ('C0056', 0.8003819145613209), ('C0145', 0.7932689297248914)]"
C0094,"[('C0015', 0.8444476069518865), ('C0047', 0.8311362635267289), ('C0116', 0.8229803060936198)]"
C0095,"[('C0130', 0.955058380000767), ('C0112', 0.9541933646483846), ('C0120', 0.9120196916827282)]"
C0096,"[('C0148', 0.9641475430493947), ('C0120', 0.8575370987957811), ('C0188', 0.800737510619988)]"
C0097,"[('C0128', 0.9650718796952837), ('C0014', 0.7594542825863273), ('C0060', 0.7179703399194728)]"
C0098,"[('C0049', 0.9784723229187183), ('C0030', 0.8202433697683694), ('C0067', 0.8042477340797675)]"
C0099,"[('C0108', 0.9408024764042906), ('C0013', 0.8741281766038286), ('C0107', 0.873164426895518)]"
C0100,"[('C0037', 0.9483735897888276), ('C0179', 0.9383461469930483), ('C0164', 0.9190652793510399)]"
C0101,"[('C0090', 0.9253700495069195), ('C0021', 0.9143316313462527), ('C0173', 0.8549639848845692)]"
C0102,"[('C0188', 0.9831250506718293), ('C0001', 0.8800435990525455), ('C0181', 0.8139868363926958)]"
C0103,"[('C0198', 0.9374426501052004), ('C0009', 0.8876032035801616), ('C0061', 0.8621086974880551)]"
C0104,"[('C0113', 0.9549078906678925), ('C0152', 0.8446954034665861), ('C0163', 0.8093677401503117)]"
C0105,"[('C0051', 0.915798118204751), ('C0114', 0.840300201100493), ('C0069', 0.8134643907206539)]"
C0106,"[('C0002', 0.9496117602460986), ('C0134', 0.9154766321693338), ('C0088', 0.8425852340198274)]"
C0107,"[('C0133', 0.9591676882173469), ('C0108', 0.9385193397385732), ('C0099', 0.873164426895518)]"
C0108,"[('C0099', 0.9408024764042906), ('C0107', 0.9385193397385732), ('C0133', 0.8295871503607067)]"
C0109,"[('C0034', 0.766830293620902), ('C0067', 0.7338852008961007), ('C0156', 0.7256067244974612)]"
C0110,"[('C0080', 0.8993151197756529), ('C0138', 0.8523111756101953), ('C0136', 0.7844599470985494)]"
